"","gender","education level","province","marital status","experience of finance","The level of risk reverse","finance problem 1","finance problem 2","The condition of the answer of financial problems","real estate","fund","stock","bond","internet planning","financial planning","derivative","gold","no RMB asset","pension insurance","medical issurance","business issurance","educational investment"
"38","femal","junior high","上海市","married","No","Risk Reverse","No","Yes","one","No","No","No","No","No","No","No","No","No","Yes","No","No","No"
"39","femal","undergraduate","上海市","married","No","Risk Neutral","No","Yes","one","Yes","No","No","No","Yes","Yes","No","No","No","Yes","Yes","No","No"
"40","male","senior high","上海市","married","No","Risk Reverse","No","Yes","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"41","male","undergraduate","上海市","married","No","Risk Neutral","No","Yes","one","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes"
"42","femal","junior high","上海市","married","No","Risk Reverse","No","No","none","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes"
"43","femal","special school","上海市","married","No","Risk Preference","No","Yes","one","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No"
"44","femal","junior high","上海市","married","No","Little Risk Reverse","No","Yes","one","Yes","No","Yes","No","Yes","Yes","No","No","No","Yes","Yes","No","Yes"
"45","femal","primary","上海市","married","No","Risk Reverse","No","Yes","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"46","male","college","上海市","married","No","Risk Neutral","Yes","Yes","two","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"47","male","junior high","上海市","married","No","Little Risk Reverse","Yes","Yes","two","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"48","male","undergraduate","上海市","divorce","No","Risk Reverse","No","No","none","No","No","No","No","Yes","Yes","No","No","No","Yes","Yes","No","No"
"49","male","college","上海市","married","No","Risk Preference","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"50","femal","undergraduate","上海市","married","Yes","Little Risk Reverse","No","Yes","one","Yes","Yes","No","No","No","Yes","No","No","No","Yes","Yes","No","Yes"
"51","femal","junior high","上海市","married","No","Risk Reverse","No","Yes","one","No","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes"
"52","femal","senior high","上海市","cohabitation","Yes","Risk Neutral","No","Yes","one","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","No","No"
"53","male","senior high","上海市","unmarried","No","Little Risk Preference","No","Yes","one","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"54","male","senior high","上海市","unmarried","No","Risk Preference","No","Yes","one","No","No","No","No","Yes","Yes","No","No","No","Yes","Yes","No","No"
"55","femal","college","上海市","unmarried","Yes","Risk Neutral","No","Yes","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"56","femal","undergraduate","上海市","married","No","Risk Neutral","No","Yes","one","No","No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"57","femal","special school","上海市","married","No","Little Risk Reverse","Yes","Yes","two","Yes","No","Yes","No","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes"
"58","femal","senior high","上海市","married","No","Risk Neutral","No","Yes","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"59","femal","senior high","上海市","married","No","Risk Reverse","No","Yes","one","Yes","No","No","No","Yes","No","No","No","No","Yes","No","No","Yes"
"60","femal","master","上海市","unmarried","No","Risk Neutral","Yes","Yes","two","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"61","femal","special school","上海市","married","No","Risk Reverse","No","Yes","one","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"62","male","senior high","上海市","married","No","Risk Reverse","Yes","Yes","two","No","No","No","No","No","No","No","No","No","No","No","No","No"
"63","femal","senior high","上海市","married","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"64","femal","college","上海市","unmarried","No","Risk Neutral","Yes","Yes","two","Yes","No","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No"
"65","femal","college","上海市","unmarried","Yes","Risk Reverse","No","Yes","one","Yes","No","Yes","No","No","Yes","No","No","Yes","No","Yes","Yes","Yes"
"66","femal","special school","上海市","married","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","Yes","Yes","No","No","No","Yes","Yes","No","Yes"
"67","femal","college","上海市","unmarried","No","Risk Reverse","No","Yes","one","No","No","No","No","No","No","No","No","No","Yes","No","No","No"
"68","femal","junior high","上海市","married","No","Little Risk Reverse","No","Yes","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"69","femal","college","上海市","unmarried","No","Risk Reverse","Yes","Yes","two","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No"
"70","male","junior high","上海市","unmarried","Yes","Risk Preference","No","Yes","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"71","male","senior high","上海市","married","No","Risk Reverse","Yes","Yes","two","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"72","femal","undergraduate","上海市","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"73","male","college","上海市","married","No","Risk Reverse","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"74","femal","undergraduate","上海市","married","Yes","Risk Reverse","Yes","Yes","two","Yes","Yes","Yes","No","No","No","No","No","No","Yes","Yes","No","No"
"75","femal","primary","上海市","married","No","Risk Reverse","No","Yes","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"76","femal","none","上海市","married","No","Risk Preference","No","Yes","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"77","femal","undergraduate","上海市","married","No","Risk Neutral","No","Yes","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"78","femal","special school","上海市","married","No","Risk Reverse","Yes","No","one","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","No"
"79","femal","master","上海市","unmarried","Yes","Little Risk Reverse","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"80","male","undergraduate","上海市","married","No","Little Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"81","femal","senior high","上海市","married","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"82","femal","undergraduate","上海市","unmarried","No","Risk Neutral","Yes","Yes","two","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"83","male","special school","上海市","widowed","No","Risk Reverse","Yes","Yes","two","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes"
"84","femal","college","上海市","married","No","Risk Neutral","No","Yes","one","No","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes"
"85","male","undergraduate","上海市","married","No","Risk Reverse","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"86","femal","master","上海市","divorce","No","Risk Neutral","No","Yes","one","Yes","Yes","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"87","male","college","上海市","married","No","Little Risk Reverse","Yes","Yes","two","Yes","No","Yes","No","No","Yes","No","No","No","Yes","Yes","No","Yes"
"88","male","special school","上海市","married","Yes","Little Risk Preference","No","Yes","one","Yes","No","Yes","No","No","Yes","No","No","Yes","Yes","No","Yes","No"
"89","femal","special school","上海市","widowed","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No"
"90","male","senior high","上海市","married","No","Little Risk Reverse","Yes","Yes","two","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","No","No"
"91","femal","undergraduate","上海市","married","No","Risk Reverse","No","Yes","one","Yes","No","Yes","No","Yes","No","No","No","No","Yes","Yes","Yes","No"
"92","femal","undergraduate","上海市","cohabitation","No","Little Risk Reverse","No","Yes","one","Yes","No","No","No","No","No","No","Yes","No","Yes","Yes","Yes","No"
"93","male","undergraduate","上海市","married","Yes","Risk Reverse","No","Yes","one","No","Yes","Yes","No","No","Yes","No","No","No","Yes","Yes","No","Yes"
"94","femal","master","上海市","married","No","Little Risk Preference","Yes","Yes","two","Yes","No","Yes","No","No","Yes","No","No","No","Yes","Yes","No","Yes"
"95","femal","undergraduate","上海市","unmarried","Yes","Risk Neutral","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"96","femal","junior high","上海市","married","No","Risk Preference","No","Yes","one","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes"
"97","femal","college","上海市","married","No","Little Risk Reverse","Yes","Yes","two","Yes","Yes","Yes","No","No","Yes","No","No","No","Yes","Yes","No","Yes"
"98","femal","undergraduate","上海市","married","No","Little Risk Reverse","Yes","Yes","two","Yes","Yes","Yes","No","No","Yes","No","No","No","Yes","Yes","No","Yes"
"99","male","special school","上海市","unmarried","No","Little Risk Preference","No","No","none","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"100","femal","college","上海市","married","No","Risk Neutral","No","No","none","No","No","Yes","No","Yes","Yes","No","No","No","Yes","Yes","No","No"
"101","male","college","上海市","unmarried","Yes","Little Risk Preference","Yes","Yes","two","Yes","Yes","Yes","No","No","No","No","No","No","Yes","Yes","Yes","No"
"102","male","undergraduate","上海市","married","No","Risk Reverse","No","Yes","one","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No"
"103","male","college","上海市","married","No","Risk Neutral","Yes","Yes","two","Yes","No","No","No","No","No","No","Yes","No","Yes","Yes","No","No"
"104","femal","undergraduate","上海市","married","No","Little Risk Reverse","Yes","Yes","two","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes"
"105","male","college","上海市","married","No","Little Risk Reverse","Yes","Yes","two","Yes","No","Yes","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"106","femal","undergraduate","上海市","married","No","Risk Neutral","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"107","male","undergraduate","上海市","married","No","Little Risk Reverse","Yes","Yes","two","Yes","Yes","No","No","Yes","No","No","Yes","No","Yes","Yes","No","Yes"
"108","femal","college","上海市","married","No","Risk Neutral","Yes","Yes","two","No","No","Yes","No","No","Yes","No","No","No","No","Yes","Yes","Yes"
"109","femal","college","上海市","unmarried","No","Little Risk Reverse","No","Yes","one","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"110","femal","undergraduate","上海市","married","Yes","Little Risk Reverse","Yes","Yes","two","Yes","Yes","No","No","Yes","No","No","Yes","No","Yes","Yes","No","Yes"
"111","femal","junior high","上海市","married","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"112","femal","special school","上海市","married","No","Risk Neutral","No","Yes","one","Yes","No","Yes","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"113","femal","senior high","上海市","married","No","Risk Reverse","No","No","none","Yes","Yes","No","No","No","No","No","No","No","No","No","No","Yes"
"114","femal","undergraduate","上海市","married","Yes","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"115","male","primary","上海市","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No"
"116","male","college","上海市","married","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No"
"117","femal","senior high","上海市","married","No","Risk Reverse","No","No","none","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No"
"118","femal","senior high","上海市","married","No","Risk Reverse","No","No","none","No","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No"
"119","femal","junior high","上海市","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"120","femal","undergraduate","上海市","unmarried","Yes","Risk Neutral","No","Yes","one","Yes","No","Yes","No","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes"
"121","femal","undergraduate","上海市","divorce","No","Risk Neutral","Yes","Yes","two","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes"
"122","male","college","上海市","married","No","Risk Neutral","Yes","Yes","two","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes"
"123","femal","senior high","上海市","married","No","Risk Neutral","No","Yes","one","No","No","Yes","No","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes"
"124","femal","senior high","上海市","married","No","Risk Reverse","Yes","Yes","two","No","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No"
"125","femal","primary","上海市","married","No","Risk Neutral","No","No","none","No","No","No","No","Yes","Yes","No","No","No","Yes","No","No","Yes"
"126","femal","special school","上海市","married","No","Risk Preference","No","No","none","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"127","femal","undergraduate","上海市","unmarried","No","Little Risk Preference","Yes","Yes","two","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes"
"128","male","undergraduate","上海市","married","No","Risk Neutral","Yes","Yes","two","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","Yes","Yes","No"
"129","male","doctor","上海市","married","No","Risk Neutral","Yes","Yes","two","Yes","No","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No"
"130","femal","master","上海市","married","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"131","male","undergraduate","上海市","unmarried","No","Risk Preference","Yes","Yes","two","Yes","Yes","No","No","Yes","No","No","No","Yes","No","Yes","No","No"
"132","male","primary","上海市","married","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"133","femal","undergraduate","上海市","married","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No"
"134","femal","master","上海市","married","No","Risk Neutral","No","No","none","No","Yes","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"135","femal","special school","上海市","married","Yes","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"136","femal","senior high","上海市","married","No","Risk Neutral","No","Yes","one","No","Yes","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"137","male","master","上海市","married","No","Little Risk Preference","Yes","Yes","two","No","No","Yes","No","Yes","No","Yes","No","No","Yes","Yes","Yes","No"
"138","femal","college","上海市","married","Yes","Little Risk Preference","Yes","Yes","two","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"139","male","special school","上海市","unmarried","No","Risk Preference","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"140","femal","senior high","上海市","married","No","Risk Neutral","Yes","Yes","two","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes"
"141","femal","undergraduate","上海市","unmarried","Yes","Risk Neutral","Yes","Yes","two","Yes","No","No","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes"
"142","male","undergraduate","上海市","unmarried","Yes","Risk Preference","Yes","Yes","two","Yes","No","Yes","No","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes"
"143","male","master","上海市","married","No","Risk Neutral","Yes","Yes","two","No","No","No","No","Yes","No","No","Yes","No","Yes","Yes","No","No"
"144","femal","undergraduate","上海市","unmarried","No","Little Risk Reverse","Yes","Yes","two","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"145","femal","junior high","上海市","married","No","Risk Reverse","No","No","none","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
"146","male","undergraduate","上海市","unmarried","Yes","Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"147","male","primary","上海市","married","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","No","No","Yes"
"148","male","undergraduate","上海市","unmarried","No","Little Risk Reverse","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No"
"149","femal","undergraduate","上海市","unmarried","No","Little Risk Reverse","Yes","Yes","two","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"150","femal","junior high","上海市","married","No","Little Risk Reverse","No","Yes","one","No","No","No","No","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes"
"151","male","undergraduate","上海市","unmarried","No","Risk Preference","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"152","femal","college","上海市","married","No","Little Risk Reverse","No","Yes","one","Yes","No","Yes","No","No","Yes","No","No","No","Yes","Yes","Yes","Yes"
"153","femal","undergraduate","上海市","unmarried","Yes","Risk Neutral","Yes","Yes","two","Yes","Yes","Yes","No","No","Yes","No","No","No","Yes","Yes","No","No"
"154","femal","primary","上海市","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes"
"155","femal","undergraduate","上海市","unmarried","Yes","Risk Neutral","No","Yes","one","Yes","No","No","No","Yes","No","No","No","No","No","Yes","No","Yes"
"156","femal","undergraduate","上海市","unmarried","Yes","Risk Neutral","No","Yes","one","Yes","No","Yes","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"157","femal","undergraduate","上海市","unmarried","No","Little Risk Reverse","Yes","Yes","two","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"158","femal","primary","上海市","married","No","Risk Preference","No","No","none","Yes","No","No","No","No","Yes","No","No","No","Yes","No","No","Yes"
"159","male","college","上海市","unmarried","No","Risk Neutral","No","No","none","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"160","femal","special school","上海市","married","No","Little Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"161","femal","college","上海市","married","No","Risk Neutral","No","Yes","one","No","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes","No"
"162","femal","undergraduate","上海市","unmarried","No","Little Risk Reverse","Yes","Yes","two","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"163","male","junior high","上海市","married","No","Risk Reverse","Yes","No","one","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes"
"164","femal","undergraduate","上海市","married","Yes","Risk Neutral","Yes","Yes","two","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"165","male","undergraduate","上海市","unmarried","No","Risk Neutral","Yes","Yes","two","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No","Yes"
"166","femal","doctor","上海市","married","No","Risk Neutral","No","Yes","one","Yes","No","No","No","Yes","No","No","Yes","No","Yes","Yes","Yes","No"
"167","femal","undergraduate","上海市","married","Yes","Risk Neutral","Yes","Yes","two","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes"
"168","male","junior high","上海市","married","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No"
"169","femal","undergraduate","上海市","unmarried","Yes","Risk Reverse","No","Yes","one","Yes","No","Yes","No","Yes","No","No","No","No","Yes","No","No","No"
"170","femal","undergraduate","上海市","unmarried","No","Little Risk Reverse","Yes","Yes","two","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes"
"171","male","undergraduate","上海市","married","No","Risk Reverse","Yes","Yes","two","Yes","No","Yes","No","No","Yes","Yes","No","Yes","No","No","No","No"
"172","femal","junior high","上海市","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"173","male","undergraduate","上海市","unmarried","No","Little Risk Preference","No","Yes","one","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","No","No"
"174","male","undergraduate","上海市","married","Yes","Little Risk Preference","No","Yes","one","Yes","Yes","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes"
"175","femal","senior high","上海市","married","No","Little Risk Reverse","No","Yes","one","No","No","Yes","No","No","Yes","No","No","No","No","Yes","Yes","No"
"176","femal","junior high","上海市","married","No","Risk Reverse","No","Yes","one","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes"
"177","male","primary","上海市","unmarried","No","Risk Preference","Yes","Yes","two","Yes","No","No","No","No","No","No","Yes","No","Yes","Yes","No","Yes"
"178","femal","undergraduate","上海市","unmarried","No","Risk Neutral","Yes","No","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"179","femal","college","上海市","married","No","Little Risk Reverse","No","Yes","one","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"180","male","senior high","上海市","married","No","Little Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","Yes","No","No","No","Yes","Yes","No","Yes"
"181","femal","undergraduate","上海市","unmarried","No","Little Risk Preference","Yes","Yes","two","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"182","male","senior high","上海市","married","No","Little Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"183","male","college","上海市","married","Yes","Risk Neutral","Yes","Yes","two","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No"
"184","femal","undergraduate","上海市","unmarried","No","Risk Neutral","No","Yes","one","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"185","femal","college","上海市","unmarried","No","Little Risk Preference","No","Yes","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No"
"186","femal","undergraduate","上海市","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"187","femal","primary","上海市","widowed","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"188","femal","undergraduate","上海市","unmarried","No","Risk Neutral","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","No","Yes","Yes"
"189","femal","senior high","上海市","unmarried","No","Little Risk Reverse","Yes","Yes","two","Yes","No","No","No","Yes","Yes","No","No","No","Yes","Yes","No","No"
"190","femal","junior high","上海市","married","No","Little Risk Reverse","No","Yes","one","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
